iter,tr_rmse,va_rmse,obj,time
542,0.7857,0.9265,5.3504e+07,1182.21
543,0.7857,0.9265,5.3504e+07,1184.32
544,0.7857,0.9265,5.3504e+07,1186.58
545,0.7857,0.9265,5.3504e+07,1188.70
546,0.7857,0.9265,5.3503e+07,1190.80
547,0.7857,0.9265,5.3504e+07,1192.87
548,0.7857,0.9265,5.3503e+07,1195.00
549,0.7857,0.9265,5.3503e+07,1197.06
550,0.7857,0.9265,5.3503e+07,1199.16
551,0.7857,0.9265,5.3503e+07,1201.23
552,0.7856,0.9265,5.3503e+07,1203.29
553,0.7856,0.9265,5.3503e+07,1205.36
554,0.7856,0.9265,5.3503e+07,1207.43
555,0.7856,0.9265,5.3502e+07,1209.50
556,0.7856,0.9265,5.3503e+07,1211.59
557,0.7856,0.9265,5.3502e+07,1213.65
558,0.7856,0.9265,5.3502e+07,1215.69
559,0.7856,0.9265,5.3503e+07,1217.72
560,0.7856,0.9265,5.3502e+07,1219.78
561,0.7856,0.9265,5.3502e+07,1221.78
562,0.7856,0.9265,5.3502e+07,1223.78
563,0.7856,0.9265,5.3502e+07,1225.80
564,0.7856,0.9265,5.3502e+07,1227.81
565,0.7856,0.9265,5.3502e+07,1229.83
566,0.7856,0.9265,5.3502e+07,1231.83
567,0.7855,0.9265,5.3501e+07,1233.85
568,0.7855,0.9265,5.3502e+07,1235.87
569,0.7855,0.9265,5.3502e+07,1237.89
570,0.7855,0.9265,5.3501e+07,1239.90
571,0.7855,0.9265,5.3501e+07,1242.14
572,0.7855,0.9265,5.3501e+07,1244.37
573,0.7855,0.9265,5.3501e+07,1246.60
574,0.7855,0.9266,5.3501e+07,1248.83
