iter,tr_rmse,va_rmse,obj,time
464,1.0334,1.0410,1.8916e+06,29.05
465,1.0336,1.0407,1.8916e+06,29.11
466,1.0336,1.0409,1.8916e+06,29.17
467,1.0336,1.0409,1.8916e+06,29.24
468,1.0336,1.0407,1.8916e+06,29.31
469,1.0336,1.0408,1.8916e+06,29.38
470,1.0335,1.0408,1.8916e+06,29.45
471,1.0334,1.0408,1.8916e+06,29.51
472,1.0337,1.0408,1.8916e+06,29.59
473,1.0335,1.0406,1.8916e+06,29.66
474,1.0335,1.0409,1.8916e+06,29.74
475,1.0336,1.0407,1.8916e+06,29.82
476,1.0336,1.0409,1.8916e+06,29.89
477,1.0336,1.0404,1.8916e+06,29.96
478,1.0333,1.0410,1.8916e+06,30.05
479,1.0338,1.0408,1.8916e+06,30.11
480,1.0336,1.0409,1.8916e+06,30.20
481,1.0335,1.0409,1.8916e+06,30.28
482,1.0335,1.0406,1.8916e+06,30.35
483,1.0335,1.0409,1.8916e+06,30.42
484,1.0333,1.0407,1.8916e+06,30.48
485,1.0336,1.0407,1.8916e+06,30.55
486,1.0337,1.0408,1.8916e+06,30.62
487,1.0335,1.0406,1.8916e+06,30.69
488,1.0335,1.0406,1.8916e+06,30.76
489,1.0337,1.0405,1.8916e+06,30.82
490,1.0334,1.0407,1.8916e+06,30.89
491,1.0335,1.0407,1.8916e+06,30.96
492,1.0335,1.0408,1.8916e+06,31.02
493,1.0335,1.0407,1.8916e+06,31.10
494,1.0336,1.0407,1.8916e+06,31.18
495,1.0334,1.0407,1.8916e+06,31.25
496,1.0336,1.0411,1.8916e+06,31.31
497,1.0335,1.0405,1.8916e+06,31.39
498,1.0334,1.0409,1.8916e+06,31.44
499,1.0333,1.0413,1.8916e+06,31.49
